date,returns,earthquake_dummy
2010-08-11,-2.8583405997966134,0
2010-08-12,-0.5393266400069165,0
2010-08-13,-0.4031690712186697,0
2010-08-16,0.012045128870907225,0
2010-08-17,1.2118489601349842,0
2010-08-18,0.1481680485941699,0
2010-08-19,-1.7080435856901752,0
2010-08-20,-0.36697539229169984,0
2010-08-23,-0.40484907945555415,0
2010-08-24,-1.4618768361986525,0
2010-08-25,0.3283944691638116,0
2010-08-26,-0.7714466580899578,0
2010-08-27,1.6450710403285436,0
2010-08-30,-1.4828611113085735,0
2010-08-31,0.03907180884972621,0
2010-09-01,2.9077736386747826,0
2010-09-02,0.9039852986736991,0
2010-09-03,1.3132393793154202,0
2010-09-07,-1.1537491412766068,0
2010-09-08,0.64180594909078,0
2010-09-09,0.48206520589967217,0
2010-09-10,0.4851545040683688,0
